,p_bat_sch,k_pv_sch,p_grid_sch,soc_bat,pv_forecasted,load_forecasted,p_grid_cost
0,0.298,1.0,0,0.5,0.0,0.298,0.63
1,0.47501914,1.0,0,0.49379167,0.0,0.47501914329411765,0.63
2,0.45597974,1.0,0,0.48389543,0.0,0.45597974311418676,0.63
3,0.4367705,1.0,0,0.47439586,0.0,0.43677050019723185,0.63
4,0.4250429,1.0,0,0.46529647,0.0,0.42504289731896827,0.63
5,0.4090661,1.0,0,0.45644141,0.0,0.4090660992784524,0.63
6,0.35987416,1.0,0,0.4479192,0.0,0.35987415837517456,0.63
7,0.2855995,1.0,0,0.44042182,0.0,0.28559949883341085,0.63
8,0.34373707,1.0,0,0.43447183,0.0,0.34373706736367865,0.63
9,0.43926206,1.0,0,0.42731064,0.0,0.439262064016552,0.63
10,0.53494816,1.0,0,0.41815935,0.0,0.5349481574635739,0.63
11,0.64939094,1.0,0,0.4070146,0.0,0.6493909397074039,0.63
12,0.64586378,1.0,0,0.39348562,0.0,0.6458637842040384,0.63
13,0.5727821,1.0,0,0.38003012,0.0,0.5727820952022028,0.63
14,0.47481864,1.0,0,0.36809716,0.0,0.4748186382921107,0.63
15,0.37018037,1.0,0,0.35820511,0.0,0.3701803657956967,0.63
16,0.33966926,1.0,0,0.35049302,0.0,0.3396692642521981,0.63
17,0.34283754,1.0,0,0.34341657,0.0,0.3428375394102898,0.63
18,0.35697548,1.0,0,0.33627413,0.0,0.356975480769249,0.63
19,0.37832859,1.0,0,0.32883714,0.0,0.3783285907832267,0.63
20,0.38504092,1.0,0,0.32095529,0.0,0.3850409216999418,0.63
21,0.34549109,1.0,0,0.31293361,0.0,0.3454910887454228,0.63
22,0.39023995,1.0,0,0.30573587,0.0,0.3902399538611397,0.63
23,0.42754813,1.0,0,0.29760588,0.0,0.42754812519698526,0.63
24,0.46645232,1.0,0,0.28869862,0.0,0.46645231847108287,0.63
25,0.45996395,1.0,0,0.27898087,0.0,0.459963946984227,0.63
26,0.41806962,1.0,0,0.26939828,0.0,0.41806962090048744,0.63
27,0.32618695,1.0,0,0.2606885,0.03939393963636364,0.36558088940026584,0.63
28,0.17974866,1.0,0,0.25389294,0.12603305834710746,0.30578171567287227,0.63
29,-0.034270289,1.0,0,0.25014817,0.27329075928024044,0.2390204707306576,0.63
30,-0.28417029,0.97526663,0,0.25086214,0.48240102042558564,0.1862993271258132,0.63
31,-0.53407029,0.9163985,0,0.25678235,0.7343399508685011,0.13887773806862536,0.63
32,-0.78397029,0.86459802,0,0.26790882,1.0157005792919096,0.09420242403743201,0.63
33,-1.0338703,0.84883833,0,0.28424153,1.2994730433410415,0.06917224202041747,0.63
34,-1.2837703,0.84189976,0,0.3057805,1.6035004479132953,0.06621636037477317,0.63
35,-1.5336703,0.83919286,0,0.33252571,1.911000244498161,0.07002746729533083,0.63
36,-1.7835703,0.85956284,0,0.36447718,2.2120607394535425,0.11783491925199864,0.63
37,-2.0334703,0.85190182,0,0.40163489,2.5179422215201144,0.11156926686472655,0.63
38,-2.0334703,0.77965222,0,0.44399885,2.809786666283699,0.15718611647166902,0.63
39,-2.0334703,0.70534452,0,0.48636282,3.0871563633365637,0.14403854771181945,0.63
40,-2.0334703,0.64987829,0,0.52872678,3.3498125620017616,0.14350017257008332,0.63
41,-2.0334703,0.61140307,0,0.57109075,3.589291700819143,0.16103368722004544,0.63
42,-2.0123582,0.56364629,0,0.61345471,3.8184015342649875,0.13986963648366116,0.63
43,-1.7624582,0.4712083,0,0.65537884,4.029734170508176,0.13638596353654245,0.63
44,-1.5125582,0.39039296,0,0.69209672,4.219248941640824,0.13460687956538678,0.63
45,-1.2626582,0.3240677,0,0.72360835,4.38322669544045,0.15780399776293824,0.63
46,-1.0127582,0.27562094,0,0.74991373,4.5135781974220635,0.2312784476888754,0.63
47,-0.76285821,0.23169185,0,0.77101286,4.636951744230216,0.31148573528484114,0.63
48,-0.51295821,0.17386857,0,0.78690574,4.739094891125572,0.31102145124627695,0.63
49,-0.26305821,0.11507575,0,0.79759237,4.821324486250312,0.2917593326797874,0.63
50,-0.013158207,0.051658662,0,0.80307275,4.888904265681988,0.23939604837079312,0.63
51,0.05355,0.023648705,0,0.80334687,4.926523539008357,0.17005590274770535,0.63
52,0.05355,0.015718579,0,0.80223125,4.937194657640922,0.131155685135112,0.63
53,0.05355,0.018366305,0,0.80111562,4.921045570895049,0.14393142207369747,0.63
54,0.05355,0.028254496,0,0.8,4.878903644670027,0.19140096531292586,0.63
55,0.05355,0.042824863,0,0.79888438,4.813492897001833,0.2596871732615959,0.63
56,0.05355,0.05906944,0,0.79776875,4.724784004637364,0.3326403452335977,0.63
57,0.05355,0.07298577,0,0.79665313,4.618064002620381,0.39060295521832594,0.63
58,0.05355,0.066670366,0,0.7955375,4.471974304792935,0.35169816211908683,0.63
59,0.05355,0.055071437,0,0.79442188,4.31350113643251,0.2911007055195019,0.63
60,0.05355,0.040208889,0,0.79330625,4.135394559508641,0.21982962064700107,0.63
61,0.05355,0.022403756,0,0.79219063,3.9291546084592586,0.1415778230801824,0.63
62,0.05355,0.037942149,0,0.791075,3.650750998614141,0.19206733949828128,0.63
63,0.05355,0.042045094,0,0.78995938,3.30647024188044,0.19257085372633528,0.63
64,0.05355,0.053998156,0,0.78884375,2.9520140716620578,0.21295331639618287,0.63
65,0.05355,0.070044185,0,0.78772813,2.4995834331793043,0.2286312851251907,0.63
66,-0.19635,0.18850753,0,0.7866125,2.160378842552348,0.21089768770464945,1.06
67,-0.44625,0.35559766,0,0.79070313,1.8988430051194627,0.22897412638435427,1.06
68,-0.61607434,0.55280262,0,0.8,1.5667931545197071,0.25005302348237507,1.06
69,-0.61607434,0.64773873,0,0.81283488,1.3053720237380224,0.22946567226311368,1.06
70,-0.61607434,0.79656006,0,0.82566976,1.0309604981298306,0.2051476194162438,1.06
71,-0.40083849,0.78119508,0,0.83850465,0.742645120343544,0.1793122285906784,1.06
72,-0.15093849,0.69884837,0,0.84685545,0.5081094596419331,0.20415297923127917,1.65
73,0.098961513,0.48841369,0,0.85,0.32487788716832716,0.25763632048978863,1.65
74,0.34886151,0.4540425,0,0.8479383,0.19387278690999663,0.4368879982671574,1.65
75,0.59876151,0.2193391,0,0.84067035,0.10802152013272542,0.6224548554184495,1.65
76,0.84866151,1.0,0,0.82819616,0.05892082916330477,0.9075823418646088,1.65
77,1.0479608,1.0,0,0.81051571,0.03213863408907533,1.080099430653423,1.65
78,1.2603176,1.0,0,0.78868319,0.017530164048586542,1.277847774720049,1.65
79,1.4337168,1.0,0,0.76242657,0.009561907662865387,1.4432787133018448,1.65
80,1.5621306,1.0,0,0.73255747,0.005215585997926575,1.567346162710097,1.65
81,1.697587,1.0,0,0.70001309,0.0028448650897781314,1.7004318258418711,1.65
82,1.6508487,1.0,0,0.66464669,0.0015517445944244353,1.6524004808228385,1.06
83,1.5747097,1.0,0,0.63025401,0.0008464061424133283,1.5755561031760938,1.06
84,1.5255569,1.0,0,0.59744756,0.00046167607767999726,1.5260186006415055,1.06
85,1.4599461,1.0,0,0.56566512,0.0002518233150981803,1.4601979196226396,1.06
86,1.3755255,1.0,0,0.53524958,0.00013735817187173472,1.3756628930668944,1.06
87,1.1836299,1.0,0,0.5065928,7.49226392027644e-05,1.183704861127397,0.63
88,0.97049402,1.0,0,0.48193384,4.086689411059876e-05,0.9705348838876708,0.63
89,0.84363423,1.0,0,0.46171521,2.2291033151235687e-05,0.8436565219387294,0.63
90,0.75480861,1.0,0,0.4441395,1.2158745355219466e-05,0.7548207674211251,0.63
91,0.70842172,1.0,0,0.42841432,6.6320429210287995e-06,0.7084283515024319,0.63
92,0.69451037,1.0,0,0.41365554,3.6174779569248e-06,0.6945139850013266,0.63
93,0.67054193,1.0,0,0.39918657,1.9731697946862546e-06,0.670543903455269,0.63
94,0.61168072,1.0,0,0.38521695,1.0762744334652298e-06,0.611681791702874,0.63
95,0.5683977,1.0,0,0.3724736,5.870587818901254e-07,0.5683982827470222,0.63
